"","term3","Freq"
"1398","last",6
"1429","light",6
"1469","lock",6
"1637","name",6
"1641","national",6
"1673","nicestayed",6
"1814","park",6
"1815","parking",6
"1913","porter",6
"1966","properly",6
"2144","roadstayed",6
"2162","roomstayed",6
"2206","security",6
"2430","stationstayed",6
"2599","tidy",6
"2706","uber",6
"2724","unfriendly",6
"2856","went",6
"2860","western",6
"2904","worth",6
"60","affordable",5
"67","againstayed",5
"151","arrive",5
"181","attractionsstayed",5
"201","bacon",5
"228","bath",5
"307","bonus",5
"362","building",5
"370","business",5
"409","carry",5
"412","case",5
"454","checkout",5
"505","closing",5
"516","come",5
"520","comfort",5
"530","coming",5
"551","complex",5
"555","concern",5
"613","corridor",5
"614","cost",5
"616","costs",5
"755","dispenser",5
"795","drink",5
"800","drivers",5
"866","especially",5
"880","evening",5
"1035","fridge",5
"1043","friendlystayed",5
"1052","fruits",5
"1103","grab",5
"1111","greatstayed",5
"1140","hair",5
"1146","hall",5
"1180","hear",5
"1203","highly",5
"1236","hour",5
"1388","lack",5
"1405","lavender",5
"1441","line",5
"1442","linen",5
"1475","look",5
"1478","looks",5
"1487","loved",5
"1552","means",5
"1553","meant",5
"1722","offered",5
"1734","old",5
"1846","perfect",5
"1851","person",5
"1875","plan",5
"1935","previous",5
"1941","pricey",5
"1952","problems",5
"1957","professional",5
"1990","put",5
"2002","quickly",5
"2062","refill",5
"2118","rest",5
"2169","running",5
"2222","separate",5
"2248","shade",5
"2289","simple",5
"2297","single",5
"2338","smile",5
"2412","stairs",5
"2420","standards",5
"2424","start",5
"2449","stops",5
"2482","subway",5
"2485","sufficient",5
"2486","suggest",5
"2499","superb",5
"2522","tables",5
"2538","tea",5
"2632","toostayed",5
"2699","twice",5
"2714","uncomfortable",5
"2757","using",5
"2758","usual",5
"2795","viewstayed",5
"2822","wanted",5
"15","accessibility",4
"42","adequate",4
"71","aircon",4
"107","amount",4
"113","annoying",4
"141","areastayed",4
"208","bags",4
"217","bank",4
"303","body",4
"309","book",4
"342","breakfasts",4
"379","buy",4
