"","term2","Freq"
"151","cared",1
"153","carpets",1
"154","carts",1
"156","cases",1
"159","centrally",1
"160","centralstayed",1
"162","centrestayed",1
"163","cereal",1
"164","chairs",1
"165","challenge",1
"168","channels",1
"171","chargedstayed",1
"173","cheaper",1
"177","chilled",1
"179","choices",1
"181","citystayed",1
"182","claustrophobicview",1
"184","cleaned",1
"185","cleaner",1
"188","cleanlinesssilencelocationstayed",1
"189","cleanstayed",1
"190","climb",1
"192","closed",1
"193","closes",1
"194","closets",1
"195","clothes",1
"196","cn",1
"197","coach",1
"198","coldafter",1
"201","comfortablyno",1
"203","commute",1
"204","compact",1
"205","company",1
"207","complain",1
"208","complementary",1
"209","complexswiming",1
"210","compliment",1
"212","conditioner",1
"213","conditions",1
"214","conditionwe",1
"215","congested",1
"216","connection",1
"217","consider",1
"220","constitute",1
"221","continental",1
"223","converted",1
"224","cooked",1
"225","cool",1
"226","corner",1
"227","cosmetics",1
"228","cost",1
"229","costs",1
"230","cotton",1
"231","couch",1
"234","couldnt",1
"235","court",1
"240","crowd",1
"242","cups",1
"243","cupstayed",1
"244","currency",1
"245","curry",1
"247","day",1
"250","decent",1
"251","deck",1
"252","deckstayed",1
"253","declined",1
"254","dedicated",1
"256","deposited",1
"257","deprived",1
"260","design",1
"263","details",1
"264","devices",1
"269","dinner",1
"270","directionstayed",1
"272","disabled",1
"273","disappeared",1
"275","disappointingly",1
"276","discover",1
"277","dishes",1
"278","dishonest",1
"279","dispenser",1
"280","dispensers",1
"284","don",1
"286","doorstayed",1
"287","doorstep",1
"288","double",1
"289","drinks",1
"290","driver",1
"291","drivers",1
"292","drop",1
"293","dstayed",1
"296","duty",1
"300","easilythe",1
"302","eat",1
"303","eateries",1
"304","efficient",1
"305","effort",1
"308","enjoy",1
"309","enjoyed",1
"311","entire",1
"313","eoom",1
"317","evening",1
"318","evenit",1
"320","everyday",1
"321","everydaystayed",1
"322","everyrhingit",1
"325","excellentstayed",1
"326","expectations",1
"330","explain",1
"331","explained",1
"332","explore",1
"335","face",1
"337","facility",1
"340","fall",1
"341","families",1
"344","faststayed",1
"350","finding",1
"352","firm",1
"354","flight",1
"357","foodcourt",1
"360","forex",1
"361","forstayed",1
"362","found",1
"365","frendly",1
"366","freshthe",1
"369","friendsstayed",1
"373","functional",1
"375","gardens",1
"384","grandness",1
"386","greatstayed",1
"387","greta",1
"388","grocery",1
"391","guestsit",1
"392","guestsnot",1
"393","gym",1
"395","hair",1
"396","hairdryer",1
"397","hallstayed",1
"398","hang",1
"403","hassle",1
"408","heavily",1
"409","help",1
"411","helpfulclose",1
"412","helpfulstayed",1
"413","helpingstayed",1
"415","higher",1
"416","highlight",1
"417","highly",1
"419","hold",1
"420","honestly",1
"421","hope",1
"424","hotelsstayed",1
"429","housekeeping",1
"433","hygienic",1
"435","icc",1
"436","icwe",1
"437","id",1
"438","idea",1
"441","impression",1
"443","included",1
"444","including",1
"445","inclusive",1
"446","incorrectly",1
"447","increase",1
"448","india",1
"449","indications",1
"456","issue",1
"457","issued",1
"466","katie",1
"468","keeper",1
"469","keeping",1
"475","known",1
"476","korean",1
"477","lady",1
