"","term3","Freq"
"2498","train",5
"2576","upgrade",5
"2604","varieties",5
"2622","viewstayed",5
"2656","want",5
"2748","world",5
"3","able",4
"42","additional",4
"80","alot",4
"101","animals",4
"145","ask",4
"167","availability",4
"251","bell",4
"268","bigger",4
"363","card",4
"398","charge",4
"427","choices",4
"438","cleaner",4
"447","cleanstayed",4
"449","clearly",4
"469","comes",4
"508","condition",4
"510","conditioner",4
"551","cot",4
"641","delicious",4
"653","desk",4
"675","dining",4
"689","disappointing",4
"737","drinks",4
"742","dryer",4
"748","dusty",4
"758","easily",4
"815","equipment",4
"855","expect",4
"857","expected",4
"946","floors",4
"983","fridge",4
"1008","furnitures",4
"1016","gardens",4
"1018","gave",4
"1040","going",4
"1053","greenerystayed",4
"1074","hair",4
"1108","head",4
"1153","hope",4
"1178","huge",4
"1183","hygiene",4
"1206","improved",4
"1232","insects",4
"1240","interesting",4
"1300","kidsstayed",4
"1303","kind",4
"1311","know",4
"1394","longer",4
"1396","look",4
"1448","management",4
"1465","maybe",4
"1512","monorail",4
"1598","noise",4
"1624","number",4
"1712","parking",4
"1728","patient",4
"1734","peaceful",4
"1766","pillow",4
"1781","plants",4
"1799","polite",4
"1839","pricing",4
"1844","problem",4
"1871","proximity",4
"1898","rain",4
"1925","receptionist",4
"1947","relaxing",4
"1982","resorts",4
"1988","rest",4
"1996","revamp",4
"2007","road",4
"2040","safe",4
"2067","seats",4
"2150","single",4
"2171","slide",4
"2190","smile",4
"2218","spa",4
"2219","space",4
"2256","stains",4
"2263","star",4
"2327","suite",4
"2336","superbstayed",4
"2342","sure",4
"2353","sustainable",4
"2380","taste",4
"2396","terrace",4
"2524","trouble",4
"2640","wait",4
"2643","waiters",4
"2652","wall",4
"2658","warm",4
"2682","website",4
"2697","western",4
"2723","window",4
"2730","wish",4
"2746","works",4
"2763","yes",4
"2768","young",4
"2","abit",3
"10","absolutely",3
"22","accommodation",3
"36","actually",3
"39","add",3
"50","adults",3
"59","ago",3
"95","ambiencestayed",3
"98","amount",3
"103","anniversary",3
"123","appreciate",3
"131","areastayed",3
"165","attractionsstayed",3
"176","awesomestayed",3
"182","baby",3
"193","banging",3
"199","barsstayed",3
"200","base",3
"256","beststayed",3
"279","blanket",3
"293","book",3
"312","bread",3
"322","broken",3
"326","budget",3
"331","building",3
"346","caf",3
"377","caused",3
"391","chairs",3
"404","cheap",3
"411","checkin",3
"418","children",3
"428","choose",3
"433","city",3
"456","clothes",3
"457","club",3
"463","coffee",3
"466","colour",3
"491","complain",3
"495","completely",3
"497","complimentary",3
"504","concert",3
"520","connection",3
"538","cooked",3
"549","cost",3
"565","covered",3
"591","crowded",3
"601","cups",3
"614","damp",3
"649","design",3
"686","disappointed",3
"713","doesn",3
"714","doesnt",3
"741","dry",3
"763","eating",3
"784","employing",3
"789","end",3
"790","ended",3
"807","entrance",3
"845","excellentstayed",3
"858","expecting",3
"872","extremely",3
"878","face",3
"900","fantasticstayed",3
"912","feels",3
"916","felt",3
"934","fit",3
"943","flooring",3
"960","foodstayed",3
"964","forest",3
"982","freshly",3
"984","fried",3
"985","friendliness",3
"1021","general",3
"1033","gives",3
"1035","glass",3
"1060","growing",3
"1068","guy",3
"1143","holiday",3
"1163","hotels",3
"1182","hydrotherapy",3
"1213","including",3
"1217","inconvenient",3
"1225","infront",3
"1242","interior",3
"1266","items",3
"1270","itstayed",3
"1284","judy",3
"1287","jungle",3
"1292","keeping",3
"1304","kinda",3
"1310","knocking",3
"1361","lighting",3
"1432","maintain",3
"1439","major",3
"1446","man",3
"1490","mind",3
"1496","mins",3
"1499","minutes",3
"1521","mosquitoes",3
"1558","nd",3
"1665","option",3
"1669","ordered",3
"1681","outdoor",3
"1697","overlooking",3
"1707","paint",3
"1732","payment",3
"1759","pick",3
"1761","picture",3
"1767","pillows",3
"1774","placestayed",3
"1803","pools",3
"1824","prepared",3
"1872","public",3
"1886","quick",3
"1914","real",3
"1918","reason",3
"1919","reasonable",3
"1943","relax",3
"1960","repeated",3
"1991","restaurants",3
"2031","rundown",3
"2042","salt",3
"2069","second",3
"2091","served",3
"2110","sheets",3
"2117","short",3
"2122","show",3
"2142","simple",3
"2151","sink",3
"2154","site",3
"2164","sleep",3
"2178","slow",3
"2187","smelly",3
"2198","soap",3
"2229","spend",3
"2237","spot",3
"2249","st",3
"2257","stairs",3
"2265","start",3
"2276","staycation",3
"2281","staystayed",3
"2288","stiff",3
"2331","sun",3
"2343","surprise",3
"2345","surrounded",3
"2363","system",3
"2386","tea",3
"2404","thanks",3
"2412","theme",3
"2420","therestayed",3
"2437","thought",3
"2471","toilets",3
"2484","total",3
"2485","totally",3
"2506","transport",3
"2507","transportation",3
"2514","tree",3
"2519","tried",3
"2523","tropical",3
"2529","tub",3
"2535","turn",3
"2575","updating",3
"2585","upstayed",3
"2648","walked",3
"2654","walls",3
"2685","weekend",3
"2688","welcome",3
"2690","welcoming",3
"2695","weren",3
"2727","wine",3
"2731","wished",3
"2751","worse",3
"2753","worst",3
"13","acceptable",2
"41","addition",2
"43","adequate",2
"45","adequatestayed",2
"47","adjusted",2
"48","admirable",2
"51","advance",2
"55","afternoon",2
"57","againstayed",2
"58","age",2
"61","agreed",2
"68","airport",2
"74","allowed",2
"76","allready",2
"77","allstayed",2
"82","alright",2
"92","amazingstayed",2
"106","answer",2
"138","arranged",2
"140","arrival",2
"142","arrogant",2
"148","asleep",2
"162","attraction",2
"189","baked",2
"192","ball",2
"198","bars",2
"201","based",2
"209","bathrobes",2
"213","bay",2
"250","believe",2
"265","bidet",2
"272","birds",2
"274","birthday",2
"284","blends",2
"287","blood",2
"290","board",2
"291","boards",2
"301","bothered",2
"311","brand",2
"317","bright",2
"318","brilliant",2
"319","bring",2
"325","bubbles",2
"329","bugs",2
"339","busy",2
"345","cable",2
"349","cafeteria",2
"350","cake",2
"365","care",2
"368","carpet",2
"369","carpets",2
"370","carried",2
"376","cause",2
"383","center",2
"384","central",2
"395","changed",2
"396","changes",2
"421","chinese",2
"422","chk",2
"425","choco",2
"426","choice",2
"429","chose",2
"440","cleaniness",2
"452","closed",2
"454","closes",2
"455","closest",2
"460","coat",2
"477","comfystayed",2
"480","comments",2
"483","common",2
"496","complex",2
"501","con",2
"509","conditioned",2
"518","connect",2
"519","connecting",2
"531","continental",2
"536","convenientstayed",2
"539","cool",2
"540","cooled",2
"547","corridor",2
"559","courteous",2
"561","courteousstayed",2
"563","cover",2
"567","coz",2
"568","cozy",2
"604","curtain",2
"605","curtains",2
"609","cut",2
"612","daily",2
"613","damn",2
"617","dark",2
"625","daystayed",2
"628","deal",2
"635","decorated",2
"637","deep",2
"655","desperately",2
"666","difference",2
"672","dim",2
"678","dirt",2
"685","disabled",2
"695","disgusting",2
"723","doors",2
"730","downstayed",2
"731","drain",2
"733","dressing",2
"740","drop",2
"750","duty",2
"762","eateries",2
"765","ecological",2
"770","effort",2
"779","emphasis",2
"780","employed",2
"781","employees",2
"786","employs",2
"787","empty",2
"798","enoughstayed",2
"805","entire",2
"820","esp",2
"828","ethos",2
"836","everythingstayed",2
"837","everytime",2
"847","exceptionally",2
"852","excuse",2
"856","expectations",2
"863","explaining",2
"865","explore",2
"867","express",2
"868","extend",2
"871","extreme",2
"877","fabulous",2
"880","faces",2
"883","facilitiesstayed",2
"886","facing",2
"890","fair",2
"891","fall",2
"903","fast",2
"919","fill",2
"920","filled",2
"925","finding",2
"927","fine",2
"931","firm",2
"935","fitting",2
"936","fittings",2
"959","foods",2
"974","frankly",2
"980","fresh",2
"1004","functioning",2
"1014","gap",2
"1017","gardenstayed",2
"1026","getaway",2
"1034","giving",2
"1036","glasses",2
"1057","ground",2
"1063","guess",2
"1076","halal",2
"1082","hammock",2
"1084","handle",2
"1087","hang",2
"1101","hasn",2
"1123","helpfulthe",2
"1129","hesitation",2
"1145","home",2
"1167","hours",2
"1171","house",2
"1179","humid",2
"1189","ideas",2
"1194","ignored",2
"1207","improvement",2
"1216","inconvenience",2
"1218","incredible",2
"1228","initiative",2
"1241","interestingstayed",2
"1251","iron",2
"1252","ironing",2
"1257","isn",2
"1261","issue",2
