"","ID","neg","pos","sentiment"
"284","340",0,2,2
"285","341",2,3,1
"286","342",0,1,1
"287","344",0,2,2
"288","347",0,4,4
"289","348",0,2,2
"290","349",1,8,7
"291","35",1,5,4
"292","350",1,0,-1
"293","351",0,2,2
"294","352",0,0,0
"295","353",0,1,1
"296","354",2,6,4
"297","355",0,3,3
"298","356",1,2,1
"299","357",1,3,2
"300","358",2,0,-2
"301","359",0,9,9
"302","36",1,8,7
"303","360",0,5,5
"304","361",1,8,7
"305","362",1,2,1
"306","363",0,0,0
"307","364",1,9,8
"308","365",0,4,4
"309","367",2,3,1
"310","368",1,2,1
"311","369",0,1,1
"312","370",0,1,1
"313","371",5,7,2
"314","372",1,1,0
"315","373",1,3,2
"316","374",0,6,6
"317","375",0,0,0
"318","376",0,1,1
"319","377",0,2,2
"320","378",1,0,-1
"321","379",0,2,2
"322","38",0,1,1
"323","380",0,0,0
"324","381",3,6,3
"325","382",1,3,2
"326","383",1,14,13
"327","384",0,4,4
"328","385",1,4,3
"329","386",1,2,1
"330","387",0,1,1
"331","388",2,1,-1
"332","389",1,2,1
"333","39",0,1,1
"334","390",0,4,4
"335","391",1,4,3
"336","392",1,2,1
"337","393",0,2,2
"338","394",0,3,3
"339","395",0,0,0
"340","396",0,4,4
"341","397",0,0,0
"342","398",0,1,1
"343","399",0,0,0
"344","4",0,0,0
"345","40",1,2,1
"346","400",1,6,5
"347","401",0,2,2
"348","402",0,4,4
"349","403",1,3,2
"350","404",0,3,3
"351","405",0,0,0
"352","407",0,1,1
"353","408",0,3,3
"354","41",0,3,3
"355","410",0,1,1
"356","411",0,1,1
"357","412",0,2,2
"358","413",0,2,2
"359","414",1,2,1
"360","415",1,1,0
"361","416",2,4,2
"362","417",0,2,2
"363","418",0,0,0
"364","419",0,1,1
"365","42",0,1,1
"366","420",0,2,2
"367","421",2,11,9
"368","423",3,1,-2
"369","424",0,1,1
"370","425",1,4,3
"371","426",0,1,1
"372","427",1,5,4
"373","429",0,2,2
"374","43",1,5,4
"375","430",0,3,3
"376","431",0,2,2
"377","433",7,3,-4
"378","434",1,2,1
"379","436",2,3,1
"380","437",3,1,-2
"381","438",2,2,0
"382","439",1,3,2
"383","44",1,6,5
"384","440",1,2,1
"385","441",0,6,6
"386","442",1,3,2
"387","443",1,2,1
"388","445",1,1,0
"389","446",5,4,-1
"390","447",4,4,0
"391","448",1,2,1
"392","449",2,0,-2
"393","45",0,1,1
"394","450",1,8,7
"395","452",5,5,0
"396","453",0,2,2
"397","454",0,0,0
"398","456",0,1,1
"399","457",0,1,1
"400","458",1,7,6
"401","459",1,3,2
"402","46",0,1,1
"403","460",0,1,1
"404","461",1,0,-1
"405","462",0,5,5
"406","463",0,1,1
"407","464",1,0,-1
"408","465",0,2,2
