"","term2","Freq"
"234","designed",1
"239","difficult",1
"240","dingy",1
"241","dinner",1
"242","directions",1
"243","dirt",1
"246","disappointing",1
"247","disappointingstayed",1
"248","discovered",1
"249","disinterested",1
"250","dislike",1
"251","dissapointing",1
"253","disturbance",1
"254","document",1
"260","double",1
"262","dread",1
"263","drinking",1
"265","dripping",1
"271","earlier",1
"274","effort",1
"275","elevators",1
"279","empty",1
"280","end",1
"281","ended",1
"283","entertainment",1
"284","entrance",1
"285","equipped",1
"286","europe",1
"287","evacuation",1
"291","everythingstayed",1
"292","example",1
"293","excellent",1
"294","excellentstayed",1
"295","excessive",1
"296","exhibitstayed",1
"299","experience",1
"300","explore",1
"301","express",1
"302","extension",1
"303","external",1
"306","fabulous",1
"307","facilities",1
"308","facilitiesstayed",1
"311","fall",1
"312","false",1
"314","fault",1
"315","fee",1
"317","feels",1
"318","fell",1
"321","figured",1
"322","filled",1
"324","firebar",1
"325","first",1
"326","fitness",1
"327","fix",1
"332","floorstayed",1
"333","flush",1
"334","flying",1
"335","followed",1
"338","foodstayed",1
"341","fridge",1
"342","friend",1
"344","fromstayed",1
"346","frustating",1
"347","full",1
"350","given",1
"351","giving",1
"353","glasses",1
"355","goes",1
"358","goodstayed",1
"360","greet",1
"361","grossly",1
"362","guess",1
"365","guy",1
"366","gym",1
"368","hadn",1
"369","hahahhhahahhahahhahaahahha",1
"371","hallways",1
"372","hand",1
"373","handed",1
"374","hands",1
"375","happen",1
"379","haven",1
"382","head",1
"383","health",1
"385","heavy",1
"387","helpful",1
"390","high",1
"391","highlight",1
"392","honest",1
"394","hotels",1
"397","housekeeping",1
"400","huband",1
"401","huge",1
"402","humidity",1
"404","ideal",1
"407","impersonal",1
"408","important",1
"411","included",1
"412","inconvenient",1
"413","incredibly",1
"414","indoor",1
"418","ingredients",1
"419","instruction",1
"421","insulation",1
"422","interested",1
"423","international",1
"424","interrupted",1
"426","intolerantstayed",1
"429","items",1
"432","journeys",1
"434","jump",1
"435","jumpers",1
"438","justifiedstayed",1
"439","keep",1
"440","keeping",1
"441","keys",1
"442","kids",1
"443","killed",1
"444","kindstayed",1
"445","lack",1
"446","lactose",1
"447","lady",1
"448","landing",1
"449","large",1
"451","lay",1
"452","layout",1
"454","leaving",1
"455","left",1
"456","legal",1
"463","link",1
"467","located",1
"471","look",1
"472","looking",1
"473","loose",1
"474","lose",1
"478","love",1
"479","lovely",1
"480","luckily",1
"482","lunchtime",1
"486","maintainance",1
"489","making",1
"490","manage",1
"493","marks",1
"494","massive",1
"496","mattered",1
"498","mayo",1
"499","mayonaise",1
"502","medical",1
"503","mediocre",1
"504","meeting",1
"506","mention",1
"507","mentioned",1
"508","menu",1
"509","message",1
"510","microwaves",1
"512","miles",1
"514","min",1
"516","minsstayed",1
"518","mirrors",1
"519","misleading",1
"521","mistake",1
"522","mistakes",1
"528","multiple",1
"529","musty",1
"531","narrow",1
"534","nearby",1
"535","nearness",1
"543","nights",1
"544","nightstayed",1
"549","noisestayed",1
"554","notice",1
"555","noticed",1
"557","now",1
"559","occupy",1
"561","odd",1
"564","offer",1
"566","offering",1
"567","ok",1
"573","onwards",1
