"","term3","Freq"
"286","bedroom",6
"360","break",6
"398","cake",6
"442","certainly",6
"506","clear",6
"526","cold",6
"560","complaints",6
"575","conditioning",6
"607","convenientstayed",6
"681","dark",6
"697","deal",6
"716","delicious",6
"810","drink",6
"840","eating",6
"862","end",6
"888","equipped",6
"981","facilitiesstayed",6
"996","far",6
"1002","fault",6
"1012","feel",6
"1103","full",6
"1123","gave",6
"1150","going",6
"1235","helped",6
"1260","home",6
"1324","improved",6
"1333","including",6
"1485","light",6
"1577","makes",6
"1613","menu",6
"1636","minute",6
"1746","number",6
"1783","once",6
"1872","part",6
"2020","process",6
"2047","purpose",6
"2053","put",6
"2145","relaxing",6
"2156","request",6
"2185","return",6
"2255","say",6
"2400","slept",6
"2479","spread",6
"2501","star",6
"2606","takes",6
"2777","tried",6
"2823","unfortunately",6
"2945","welcome",6
"2980","windows",6
"3002","worked",6
"18","accessible",5
"24","accommodating",5
"38","actually",5
"43","additional",5
"164","areastayed",5
"204","attentive",5
"386","bus",5
"402","called",5
"453","channels",5
"476","child",5
"494","class",5
"568","con",5
"597","construction",5
"638","courteous",5
"703","decor",5
"718","delighted",5
"777","dislike",5
"807","downstairs",5
"841","ef",5
"947","experience",5
"957","extended",5
"982","facility",5
"1066","foodstayed",5
"1093","friendlystayed",5
"1181","guest",5
"1194","halal",5
"1218","haul",5
"1293","hrs",5
"1315","immigration",5
"1431","know",5
"1435","lack",5
"1440","landed",5
"1465","least",5
"1514","local",5
"1534","looked",5
"1602","meal",5
"1616","met",5
"1679","na",5
"1696","needs",5
"1711","nicely",5
"1778","old",5
"1826","outlets",5
"1831","outstanding",5
"1920","pillow",5
"2032","properly",5
"2138","regular",5
"2142","relax",5
"2264","screen",5
"2341","shops",5
"2370","signs",5
"2383","site",5
"2396","sleeping",5
"2407","smart",5
"2454","space",5
"2478","spray",5
"2517","staystayed",5
"2527","stocked",5
"2559","subway",5
"2568","suite",5
"2620","tasty",5
"2625","taxis",5
"2703","tired",5
"2750","transiting",5
"2751","transitstayed",5
"2792","turn",5
"2906","waited",5
"2956","wet",5
"3006","world",5
"26","accommodation",4
"177","arrive",4
"221","aware",4
"233","baby",4
"272","bc",4
"284","bedding",4
"315","bidet",4
"326","black",4
"327","blackout",4
"397","cafe",4
"413","car",4
"428","catching",4
"436","cek",4
"462","cheap",4
"477","children",4
"480","chinese",4
"501","cleaning",4
"547","coming",4
"559","complaint",4
"600","control",4
"606","conveniently",4
"621","cost",4
"651","credit",4
"683","data",4
"687","daughter",4
"695","daystayed",4
"732","designed",4
"770","disappointing",4
"791","doesn",4
"834","easier",4
"852","elevator",4
"855","email",4
"863","ended",4
"906","evening",4
"1020","fi",4
"1025","finding",4
"1059","flying",4
"1088","fridge",4
"1122","gate",4
"1196","hall",4
"1209","happy",4
"1248","higher",4
"1288","house",4
"1366","interesting",4
"1370","internet",4
"1393","itstayed",4
"1421","key",4
"1483","lift",4
"1533","look",4
"1619","metro",4
"1629","min",4
"1630","mind",4
"1688","nearby",4
"1740","notice",4
"1745","now",4
"1791","onward",4
"1825","outdoor",4
"1878","partner",4
"1896","peaceful",4
"1906","perfectstayed",4
"1916","pick",4
"1959","point",4
"2016","problem",4
"2026","promised",4
"2029","proof",4
"2031","proofing",4
"2068","quietstayed",4
"2110","received",4
"2229","run",4
"2293","senior",4
"2311","servicestayed",4
"2324","sgd",4
"2333","sheets",4
"2382","sit",4
"2386","situated",4
"2392","sky",4
"2399","sleepstayed",4
"2414","smooth",4
"2440","soon",4
"2459","speak",4
"2472","spent",4
"2496","standard",4
"2511","staycation",4
"2533","stopoverstayed",4
"2593","switch",4
"2596","system",4
"2599","table",4
"2614","taste",4
"2642","terminalstayed",4
"2653","thanks",4
"2724","totally",4
"2730","tourists",4
"2733","tower",4
"2734","town",4
"2765","travellers",4
"2785","try",4
"2786","trying",4
"2797","twice",4
"2855","using",4
"2912","walked",4
"2932","watching",4
