"","term2","Freq"
"182","chic",1
"183","child",1
"184","children",1
"186","citystayed",1
"189","cleanstayed",1
"190","clearly",1
"192","clothed",1
"194","cold",1
"198","comfortablestayed",1
"199","comfy",1
"201","company",1
"202","compare",1
"203","compensate",1
"204","complain",1
"205","complaint",1
"206","completely",1
"207","complex",1
"208","complimentary",1
"209","concierge",1
"210","condition",1
"211","considerably",1
"212","continental",1
"213","continously",1
"214","convenient",1
"215","convention",1
"216","correct",1
"217","cost",1
"219","couldn",1
"223","crazy",1
"224","creams",1
"225","creative",1
"226","criticism",1
"231","dated",1
"232","daughter",1
"236","deck",1
"237","decknear",1
"239","deposit",1
"240","designer",1
"245","didn",1
"247","dining",1
"249","dip",1
"250","directly",1
"251","dirt",1
"252","dirty",1
"254","disappointing",1
"255","disconnects",1
"256","discovered",1
"257","dishes",1
"258","dislike",1
"259","dn",1
"261","doesn",1
"262","dome",1
"265","doors",1
"267","downtown",1
"268","dream",1
"270","dstayed",1
"271","due",1
"275","earlier",1
"277","ease",1
"278","easily",1
"281","ef",1
"282","effect",1
"284","elderly",1
"285","elegant",1
"286","elevator",1
"289","employees",1
"290","employeeshelping",1
"291","empty",1
"292","ended",1
"293","engineering",1
"294","enjoy",1
"297","enter",1
"298","entertainment",1
"299","entrance",1
"300","entry",1
"302","especially",1
"303","espesially",1
"308","everstayed",1
"310","everydaystayed",1
"313","everytime",1
"316","exorbitant",1
"318","expectationstayed",1
"322","expensivestayed",1
"325","extraordinary",1
"326","extremelly",1
"329","fab",1
"330","fabulous",1
"331","face",1
"333","family",1
"334","fan",1
"336","fantasticstayed",1
"338","fare",1
"342","felt",1
"344","fi",1
"345","filled",1
"346","filling",1
"348","first",1
"349","fixed",1
"351","floating",1
"353","floors",1
"354","flower",1
"355","flyer",1
"357","foodsstayed",1
"358","foodstayed",1
"360","forest",1
"361","forgot",1
"363","foul",1
"365","fresh",1
"366","fridge",1
"367","fridgestayed",1
"369","friendlystayed",1
"370","friends",1
"373","fruit",1
"374","fully",1
"376","fussy",1
"377","future",1
"378","gap",1
"379","gard",1
"382","geared",1
"383","general",1
"386","gideon",1
"388","given",1
"389","glass",1
"392","goodstayed",1
"394","gothe",1
"395","grade",1
"398","guess",1
"401","guestsstayed",1
"404","hair",1
"405","hairdryers",1
"408","hand",1
"409","handy",1
"410","happened",1
"414","haul",1
"416","havesomeone",1
"418","healthy",1
"421","helps",1
"422","herestayed",1
"423","high",1
"425","hold",1
"426","holding",1
"427","horrible",1
"428","hot",1
"435","hrs",1
"438","iconic",1
"439","ideall",1
"443","im",1
"444","imagination",1
"446","impatience",1
"447","impersonal",1
"448","impossible",1
"449","impressed",1
"452","increased",1
"453","incredible",1
"455","infinite",1
"457","insane",1
"459","instayed",1
"462","introduce",1
"464","issue",1
"466","items",1
"468","jamming",1
"469","jet",1
"473","key",1
"474","kidsstayed",1
"475","kind",1
"476","king",1
"479","lag",1
"480","landmark",1
"481","large",1
"482","las",1
"484","leave",1
"488","letdown",1
"489","life",1
"490","lifetime",1
"491","lift",1
"492","lifts",1
"497","limping",1
"499","linked",1
"500","literally",1
"502","live",1
"503","lives",1
"504","loads",1
"507","locations",1
"508","locationstayed",1
"509","lol",1
"510","london",1
"512","look",1
"513","looking",1
"514","looks",1
"515","lost",1
"518","loud",1
"520","love",1
"523","luxery",1
"525","lying",1
"527","made",1
"528","magnificent",1
"529","mains",1
"531","making",1
"533","malleasy",1
"534","management",1
"536","map",1
"539","masterpiece",1
"540","matter",1
"541","maybe",1
"544","meals",1
"545","meaning",1
"546","meant",1
"547","melbourne",1
"548","member",1
"549","memorable",1
"551","merlion",1
"552","michelin",1
"553","mid",1
"554","midweek",1
