"","ID","neg","pos","sentiment"
"281","336",0,1,1
"282","338",1,2,1
"283","339",0,1,1
"284","34",0,7,7
"285","340",1,2,1
"286","341",2,11,9
"287","342",0,0,0
"288","344",3,2,-1
"289","347",0,6,6
"290","348",0,3,3
"291","349",3,4,1
"292","35",7,4,-3
"293","350",0,2,2
"294","351",0,1,1
"295","352",0,1,1
"296","354",0,0,0
"297","355",1,2,1
"298","356",0,0,0
"299","357",0,2,2
"300","358",0,3,3
"301","359",0,4,4
"302","36",1,14,13
"303","360",0,2,2
"304","361",3,5,2
"305","362",1,4,3
"306","363",0,3,3
"307","364",0,12,12
"308","365",1,5,4
"309","366",0,1,1
"310","367",0,5,5
"311","368",0,5,5
"312","369",0,0,0
"313","37",0,0,0
"314","370",0,0,0
"315","371",4,6,2
"316","372",0,1,1
"317","373",0,3,3
"318","374",1,3,2
"319","375",0,1,1
"320","376",0,1,1
"321","377",0,5,5
"322","378",1,2,1
"323","379",2,2,0
"324","38",0,1,1
"325","380",1,0,-1
"326","381",1,3,2
"327","382",1,2,1
"328","383",4,15,11
"329","384",4,2,-2
"330","385",1,1,0
"331","386",1,2,1
"332","387",2,3,1
"333","388",1,0,-1
"334","389",0,5,5
"335","39",1,2,1
"336","390",1,6,5
"337","391",0,3,3
"338","392",1,3,2
"339","393",2,11,9
"340","394",2,4,2
"341","395",0,5,5
"342","396",0,3,3
"343","397",0,1,1
"344","398",0,3,3
"345","399",2,1,-1
"346","4",1,2,1
"347","40",2,4,2
"348","400",3,3,0
"349","401",0,1,1
"350","402",1,3,2
"351","404",4,3,-1
"352","405",1,0,-1
"353","406",1,0,-1
"354","407",1,1,0
"355","408",1,0,-1
"356","409",0,0,0
"357","41",1,1,0
"358","410",0,1,1
"359","411",0,1,1
"360","412",0,1,1
"361","413",0,0,0
"362","414",0,0,0
"363","415",1,1,0
"364","416",2,1,-1
"365","417",0,1,1
"366","419",1,6,5
"367","42",0,2,2
"368","420",0,0,0
"369","421",4,3,-1
"370","422",1,0,-1
"371","423",4,10,6
"372","424",0,1,1
"373","425",2,1,-1
"374","426",1,0,-1
"375","427",1,4,3
"376","428",0,1,1
"377","429",0,1,1
"378","43",2,3,1
"379","430",0,1,1
"380","431",0,2,2
"381","432",0,0,0
"382","433",1,2,1
"383","434",0,1,1
"384","436",1,3,2
"385","437",0,2,2
"386","438",0,6,6
"387","439",0,3,3
"388","44",0,0,0
"389","440",0,5,5
"390","441",0,2,2
"391","442",0,4,4
"392","443",1,0,-1
"393","444",0,0,0
"394","445",0,2,2
"395","446",1,5,4
"396","447",4,6,2
