"","term3","Freq"
"582","couldn",5
"624","curtains",5
"626","customer",5
"657","delicious",5
"668","deposit",5
"693","dinner",5
"829","equipped",5
"868","exceptional",5
"917","fabulous",5
"954","feels",5
"966","fine",5
"1059","goodstayed",5
"1074","greatstayed",5
"1093","hair",5
"1141","higher",5
"1144","highly",5
"1172","hour",5
"1192","iconic",5
"1252","instayed",5
"1263","internet",5
"1321","king",5
"1343","last",5
"1366","life",5
"1375","lights",5
"1390","list",5
"1395","live",5
"1414","look",5
"1428","low",5
"1449","magnificent",5
"1454","makes",5
"1481","maybe",5
"1520","mini",5
"1526","minute",5
"1543","moment",5
"1562","mrt",5
"1591","needed",5
"1592","needs",5
"1603","nicestayed",5
"1635","number",5
"1640","observation",5
"1660","ok",5
"1746","part",5
"1792","pillows",5
"1797","places",5
"1826","polite",5
"1873","priced",5
"1913","public",5
"1930","queues",5
"2010","restaurantsstayed",5
"2056","rude",5
"2095","seating",5
"2097","second",5
"2194","sit",5
"2207","skypark",5
"2253","space",5
"2257","spago",5
"2268","spend",5
"2276","spot",5
"2295","stars",5
"2373","surprised",5
"2393","table",5
"2455","think",5
"2507","towel",5
"2523","trees",5
"2571","unfriendly",5
"2573","unique",5
"2657","walked",5
"2718","wife",5
"28","actually",4
"109","annoying",4
"139","areastayed",4
"162","astonishing",4
"171","attention",4
"190","average",4
"205","bags",4
"354","business",4
"408","change",4
"415","charged",4
"418","charges",4
"507","comes",4
"516","coming",4
"554","connected",4
"601","crazy",4
"640","decent",4
"679","details",4
"731","dont",4
"737","double",4
"750","drink",4
"781","efficient",4
"793","elevators",4
"803","end",4
"814","enjoyable",4
"863","exceeded",4
"883","expectations",4
"898","experiencestayed",4
"903","express",4
"978","floors",4
"1006","foyer",4
"1018","full",4
"1033","gave",4
"1051","glass",4
"1062","gorgeous",4
"1125","help",4
"1136","herestayed",4
"1143","highlight",4
"1173","hours",4
"1177","housekeeping",4
"1211","impressive",4
"1276","isn",4
"1315","keys",4
"1360","let",4
"1383","limited",4
"1402","local",4
"1411","longer",4
"1415","looked",4
"1419","lost",4
"1488","meant",4
"1493","member",4
"1494","members",4
"1507","metro",4
"1516","milk",4
"1518","mind",4
"1525","mins",4
"1532","missed",4
"1551","morning",4
"1593","negative",4
"1607","nights",4
"1622","normal",4
"1642","obviously",4
"1652","offered",4
"1693","orchid",4
"1778","phenomenal",4
"1783","photos",4
"1784","pick",4
"1787","pictures",4
"1801","planning",4
"1838","popular",4
"1889","process",4
"1892","professional",4
"1920","put",4
"1935","quickly",4
"2005","rest",4
"2028","rise",4
"2107","seen",4
"2110","selfie",4
"2139","sgd",4
"2183","simply",4
"2190","single",4
"2232","soft",4
"2399","taken",4
"2498","touch",4
"2521","treat",4
"2544","twin",4
"2555","uncomfortable",4
"2562","understand",4
"2616","vast",4
"2658","walking",4
"2723","windows",4
"2735","won",4
"2745","working",4
"2749","worldstayed",4
"19","accommodate",3
"30","added",3
"128","appointed",3
"134","architecturestayed",3
"146","arranged",3
"165","ate",3
"192","away",3
"199","baby",3
"202","backstayed",3
"222","basic",3
"231","bathtub",3
"250","bedroom",3
"272","beverage",3
"307","bottle",3
"339","budget",3
"364","cake",3
"366","call",3
"367","called",3
"399","center",3
"514","comfystayed",3
"528","complain",3
"553","confusing",3
"585","couple",3
"637","deal",3
"652","definite",3
"676","destination",3
"684","didnt",3
"725","doesn",3
"744","downstairs",3
"767","earlier",3
"779","edge",3
"780","ef",3
"792","elevator",3
"830","equippedstayed",3
"884","expectationstayed",3
"902","explore",3
"939","fantasticstayed",3
"1013","friends",3
"1017","fruit",3
"1031","gardensstayed",3
"1054","goes",3
"1079","ground",3
"1100","happy",3
"1103","harbor",3
"1126","helped",3
"1139","hidden",3
"1142","highest",3
"1158","honestly",3
"1161","hop",3
"1162","hope",3
"1190","ice",3
"1191","icon",3
"1205","impersonal",3
"1212","improve",3
"1224","including",3
"1229","incrediblestayed",3
"1235","infinite",3
"1259","interior",3
"1261","international",3
"1275","island",3
"1326","know",3
"1345","later",3
"1352","leaving",3
"1368","lifetime",3
"1384","line",3
"1399","ll",3
"1404","located",3
"1431","luggage",3
"1442","machine",3
"1447","magic",3
"1460","mallstayed",3
"1486","meal",3
"1521","minibar",3
"1531","miss",3
"1566","multiple",3
"1608","nightstayed",3
"1616","noise",3
"1618","non",3
"1624","notch",3
"1641","observatory",3
"1694","order",3
"1748","partner",3
"1751","pass",3
"1760","peoplestayed",3
"1766","perfectstayed",3
"1774","personally",3
"1781","photo",3
"1799","plan",3
"1800","planned",3
"1807","pleasant",3
"1813","pleasure",3
"1833","poolside",3
"1846","possible",3
"1852","pre",3
"1876","pricestayed",3
"1880","pricy",3
"1886","problem",3
"1912","proximity",3
"1958","realised",3
"1970","receptionist",3
"1988","relax",3
"1989","relaxing",3
"2002","residents",3
"2016","returned",3
"2023","ridiculous",3
"2034","robes",3
"2060","ruined",3
"2089","sd",3
"2101","security",3
"2103","seeing",3
"2111","selfies",3
"2119","separate",3
"2125","serve",3
"2126","served",3
"2150","shop",3
"2157","short",3
"2215","slippers",3
"2231","sofa",3
"2245","soon",3
"2252","spa",3
"2259","spargo",3
"2261","speak",3
"2314","step",3
"2335","structure",3
"2353","sun",3
"2355","sunbeds",3
"2381","sweet",3
"2382","swim",3
"2401","taking",3
"2407","tasty",3
"2410","taxi",3
"2419","tell",3
"2433","thank",3
"2447","therestayed",3
"2476","timestayed",3
"2477","tiny",3
"2496","total",3
"2510","towers",3
"2517","transport",3
"2533","trying",3
"2535","tub",3
"2546","type",3
"2551","unbeatable",3
"2559","underground",3
"2603","using",3
"2604","usstayed",3
"2614","variety",3
"2629","vi",3
"2645","visiting",3
"2687","wear",3
"2700","wellstayed",3
"2705","wet",3
"2722","window",3
"2743","work",3
"2757","wouldn",3
"2766","year",3
"8","absolute",2
"11","accept",2
"17","accessories",2
"18","accessstayed",2
"20","accommodated",2
"21","accommodating",2
"22","accommodation",2
"23","accomodating",2
"34","adrift",2
"53","age",2
"55","ages",2
"57","agreed",2
"61","airconditioner",2
"66","alcoholic",2
"74","allstayed",2
"87","amazingly",2
"92","ambience",2
"96","amenitiesstayed",2
"107","anniversary",2
"112","answer",2
"129","appreciate",2
"151","art",2
"153","asian",2
"154","ask",2
"156","asking",2
"168","attached",2
"175","attitude",2
"180","attractionstayed",2
"182","august",2
"194","awe",2
"197","awful",2
"209","balconystayed",2
"219","barstayed",2
"227","bathrobes",2
"229","bathrooms",2
"236","baythe",2
"238","bc",2
"273","beverages",2
"276","bidet",2
"279","biggest",2
"308","bottles",2
"312","box",2
"320","break",2
"324","breakfasts",2
"325","breakfaststayed",2
"332","bring",2
"334","broken",2
"337","bucket",2
"344","buildings",2
"345","buildingstayed",2
"352","bus",2
"356","busystayed",2
"358","button",2
"365","cakes",2
"374","canapes",2
"384","cards",2
"387","carpet",2
"388","carry",2
"395","ce",2
"402","certainly",2
"409","changed",2
"412","channels",2
"421","chase",2
"423","cheaper",2
"442","chinese",2
"444","chips",2
"448","choice",2
"452","choose",2
"454","christmas",2
"459","citystayed",2
"473","cleanstayed",2
"484","closes",2
"489","clubstayed",2
"491","cocktail",2
"508","comfort",2
"522","common",2
"523","communicate",2
"530","complaint",2
"537","compliment",2
"550","conference",2
"555","connection",2
"556","consider",2
"558","considered",2
"573","corner",2
"574","correct",2
"577","costly",2
"584","country",2
"588","court",2
"589","courteous",2
"592","cover",2
"602","cream",2
"608","crowd",2
"614","crowdy",2
"615","crowed",2
"618","cultural",2
"622","cups",2
"627","cut",2
"629","cutlery",2
"632","daily",2
"641","decided",2
"645","decor",2
"658","delight",2
"660","delivery",2
"664","demonstration",2
"683","didnat",2
"697","directly",2
"700","disappoint",2
"701","disappointed",2
"705","disclosed",2
"706","discount",2
"728","dollars",2
"739","doubt",2
"757","dropped",2
"760","dryer",2
"774","easystayed",2
"776","eating",2
"794","eleven",2
"821","entertainment",2
"822","entire",2
"824","entry",2
"832","esp",2
"835","essential",2
"843","euro",2
"844","european",2
"847","eventually",2
"873","excited",2
"896","experienced",2
"905","extensive",2
"916","fab",2
"918","fabulousstayed",2
"921","face",2
"930","factor",2
"937","famous",2
"946","fault",2
"948","feature",2
"950","features",2
"955","fees",2
"961","filled",2
"972","fitness",2
"979","floorstayed",2
"987","foods",2
"989","foodstayed",2
"1020","fully",2
"1024","furnishing",2
"1046","gimmicky",2
"1048","give",2
"1050","gives",2
"1061","gordon",2
"1071","greater",2
"1096","hand",2
"1097","handshower",2
"1104","harbour",2
"1115","head",2
"1116","heading",2
"1118","hear",2
"1122","heated",2
"1128","helpfull",2
"1153","hole",2
"1157","honest",2
"1176","housekeeper",2
"1182","hr",2
"1207","important",2
"1230","incredibly",2
"1232","india",2
"1244","inifinity",2
"1248","inn",2
"1257","interesting",2
"1297","job",2
"1299","joining",2
"1309","justify",2
"1314","keycard",2
"1316","kid",2
"1323","kitchen",2
"1329","knowledgeable",2
"1331","lack",2
"1332","lacked",2
"1365","lid",2
"1367","lifestyle",2
"1374","lighting",2
"1386","lines",2
"1388","linked",2
"1391","lit",2
"1397","lives",2
"1407","lock",2
"1408","log",2
"1409","lol",2
"1417","looks",2
"1435","lunch",2
"1440","lying",2
"1462","managed",2
"1463","management",2
"1469","market",2
"1471","mass",2
"1475","match",2
"1476","matches",2
"1480","may",2
"1487","meals",2
"1501","mentioned",2
"1502","menu",2
"1505","messy",2
"1506","met",2
"1512","middle",2
"1558","moved",2
"1576","name",2
"1582","nd",2
"1609","nil",2
"1620","nonestayed",2
"1653","offering",2
"1654","offers",2
"1670","online",2
"1672","onlystayed",2
"1678","opening",2
"1680","opinion",2
"1710","outrageous",2
"1715","outstayed",2
"1726","overwhelming",2
"1738","panoramic",2
"1745","parking",2
"1749","partners",2
"1750","parts",2
"1758","payment",2
"1765","perfection",2
"1769","perks",2
"1780","phone",2
"1790","pillo",2
"1791","pillow",2
"1825","poisoning",2
"1827","politestayed",2
"1828","poll",2
"1844","position",2
"1849","power",2
"1855","preferred",2
"1856","premier",2
"1860","premium",2
"1864","present",2
"1879","pricing",2
"1881","prime",2
"1883","privacy",2
