"","ID","neg","pos","sentiment"
"284","344",2,2,0
"285","345",0,2,2
"286","346",0,1,1
"287","347",1,1,0
"288","348",1,2,1
"289","349",1,14,13
"290","35",0,6,6
"291","350",0,1,1
"292","351",3,2,-1
"293","353",1,2,1
"294","354",0,6,6
"295","355",1,2,1
"296","357",1,1,0
"297","358",1,2,1
"298","359",1,5,4
"299","36",2,3,1
"300","360",0,0,0
"301","361",0,9,9
"302","362",0,10,10
"303","363",0,1,1
"304","364",1,7,6
"305","365",0,8,8
"306","367",1,4,3
"307","368",0,1,1
"308","370",0,1,1
"309","371",2,5,3
"310","372",0,2,2
"311","373",0,3,3
"312","374",2,5,3
"313","376",0,0,0
"314","377",2,0,-2
"315","378",1,0,-1
"316","379",0,1,1
"317","380",0,1,1
"318","381",1,6,5
"319","383",6,12,6
"320","384",1,4,3
"321","385",1,5,4
"322","386",0,1,1
"323","387",1,6,5
"324","388",0,0,0
"325","389",1,1,0
"326","39",0,0,0
"327","390",0,0,0
"328","391",1,2,1
"329","392",0,0,0
"330","393",1,6,5
"331","394",4,8,4
"332","395",0,2,2
"333","396",0,0,0
"334","398",2,0,-2
"335","399",2,1,-1
"336","4",0,2,2
"337","40",2,2,0
"338","400",1,1,0
"339","401",0,5,5
"340","402",0,4,4
"341","403",0,1,1
"342","404",0,2,2
"343","405",0,1,1
"344","406",2,1,-1
"345","407",1,2,1
"346","408",0,2,2
"347","41",0,1,1
"348","411",0,1,1
"349","414",0,1,1
"350","415",0,2,2
"351","416",0,6,6
"352","417",1,3,2
"353","419",0,3,3
"354","42",1,1,0
"355","421",0,14,14
"356","422",0,1,1
"357","423",1,3,2
"358","424",0,1,1
"359","425",1,3,2
"360","426",0,1,1
"361","427",0,0,0
"362","428",0,1,1
"363","429",0,1,1
"364","43",2,6,4
"365","430",2,1,-1
"366","431",0,1,1
"367","432",0,2,2
"368","433",1,3,2
"369","434",0,1,1
"370","435",0,1,1
"371","436",3,3,0
"372","437",1,1,0
"373","438",0,2,2
"374","439",0,3,3
"375","44",3,11,8
"376","440",2,0,-2
"377","441",0,3,3
"378","442",0,5,5
"379","443",1,1,0
"380","444",0,1,1
"381","445",0,2,2
"382","446",0,0,0
"383","447",0,7,7
"384","448",1,1,0
"385","449",0,3,3
"386","45",0,0,0
"387","450",2,2,0
"388","451",0,2,2
"389","452",4,17,13
"390","453",0,0,0
"391","454",0,0,0
"392","456",0,0,0
"393","457",0,1,1
"394","458",0,5,5
"395","459",2,1,-1
"396","46",0,1,1
"397","461",0,1,1
"398","462",0,4,4
"399","463",0,0,0
"400","464",1,1,0
"401","465",0,0,0
"402","466",1,1,0
"403","467",1,0,-1
"404","468",2,9,7
"405","47",0,3,3
"406","470",1,0,-1
"407","471",6,4,-2
"408","472",0,0,0
"409","473",0,3,3
"410","474",0,3,3
"411","475",0,5,5
"412","476",1,4,3
"413","477",0,3,3
"414","478",0,1,1
"415","479",1,3,2
"416","48",0,1,1
"417","480",0,6,6
"418","481",0,2,2
"419","482",0,0,0
"420","483",0,5,5
"421","484",0,2,2
"422","485",0,2,2
"423","486",0,2,2
"424","487",0,6,6
"425","488",0,2,2
"426","489",0,5,5
"427","49",0,1,1
"428","490",0,2,2
"429","491",0,5,5
"430","493",0,1,1
"431","494",2,0,-2
"432","495",0,5,5
"433","496",0,3,3
"434","497",0,0,0
"435","498",0,2,2
"436","499",0,3,3
"437","5",2,5,3
"438","50",0,2,2
"439","500",0,3,3
"440","501",0,1,1
"441","502",1,6,5
"442","503",0,0,0
"443","505",0,0,0
"444","506",0,2,2
"445","507",0,0,0
"446","508",1,3,2
"447","509",0,5,5
"448","51",0,1,1
"449","510",0,5,5
"450","511",2,1,-1
"451","512",0,2,2
"452","513",1,0,-1
"453","514",0,0,0
"454","515",0,1,1
"455","516",2,1,-1
"456","518",0,1,1
"457","519",2,9,7
"458","52",0,1,1
"459","520",2,2,0
"460","521",1,5,4
"461","522",3,7,4
"462","523",0,5,5
"463","524",0,2,2
"464","525",1,2,1
"465","526",1,1,0
"466","527",2,5,3
"467","528",0,9,9
"468","529",0,3,3
"469","53",0,3,3
"470","530",0,4,4
"471","531",0,2,2
"472","532",0,2,2
"473","533",0,1,1
"474","534",0,4,4
"475","535",0,1,1
"476","536",0,1,1
"477","537",0,3,3
"478","538",0,0,0
"479","539",0,9,9
"480","54",1,6,5
"481","540",0,0,0
"482","541",1,2,1
"483","542",0,2,2
"484","543",0,3,3
"485","544",1,1,0
"486","545",0,4,4
"487","546",3,0,-3
"488","547",0,4,4
"489","549",1,5,4
"490","550",1,1,0
"491","551",2,3,1
"492","552",0,0,0
"493","553",2,0,-2
"494","554",0,3,3
"495","555",0,2,2
"496","556",0,1,1
"497","557",0,0,0
"498","558",1,3,2
"499","559",0,3,3
"500","56",2,13,11
"501","560",0,2,2
"502","561",1,8,7
"503","562",0,1,1
"504","563",1,4,3
"505","564",0,1,1
"506","565",0,3,3
"507","566",0,1,1
"508","568",2,10,8
"509","57",0,4,4
"510","570",0,1,1
"511","571",0,1,1
"512","572",0,2,2
"513","573",0,1,1
"514","574",0,4,4
"515","575",0,0,0
"516","576",1,2,1
"517","577",1,5,4
"518","578",1,3,2
"519","579",1,3,2
"520","58",0,4,4
"521","580",0,2,2
"522","581",2,2,0
"523","582",0,2,2
"524","583",0,2,2
"525","585",3,13,10
"526","586",1,8,7
"527","587",0,1,1
"528","588",1,3,2
"529","59",0,7,7
"530","590",0,1,1
"531","591",0,1,1
"532","592",3,7,4
"533","594",0,1,1
"534","595",0,1,1
"535","596",0,1,1
"536","598",0,4,4
"537","599",2,0,-2
"538","6",0,3,3
"539","60",0,4,4
"540","600",0,3,3
"541","601",0,0,0
"542","602",4,11,7
"543","603",0,4,4
"544","604",1,2,1
"545","605",1,0,-1
"546","606",0,1,1
"547","607",0,2,2
"548","608",0,3,3
"549","609",0,0,0
"550","61",0,1,1
"551","610",1,0,-1
"552","611",0,7,7
"553","612",0,0,0
"554","613",0,2,2
"555","614",1,12,11
"556","615",0,3,3
"557","616",1,1,0
"558","617",0,1,1
"559","619",0,3,3
"560","62",3,0,-3
"561","620",0,1,1
"562","621",1,3,2
"563","622",1,0,-1
"564","624",1,0,-1
"565","626",0,0,0
"566","627",0,3,3
"567","628",0,0,0
"568","629",0,0,0
"569","63",0,2,2
"570","630",1,6,5
"571","631",0,0,0
"572","632",1,1,0
"573","633",1,1,0
"574","634",0,2,2
"575","635",1,1,0
"576","636",0,6,6
"577","637",0,0,0
"578","638",2,3,1
"579","639",0,1,1
"580","64",0,4,4
"581","640",0,0,0
"582","641",0,3,3
"583","644",0,2,2
"584","645",0,4,4
"585","646",1,14,13
"586","647",2,3,1
"587","648",2,3,1
"588","649",0,3,3
"589","651",1,3,2
"590","652",0,2,2
"591","653",0,1,1
"592","654",0,6,6
"593","655",1,0,-1
"594","656",1,2,1
"595","657",0,2,2
"596","658",0,9,9
"597","659",0,0,0
"598","660",1,2,1
"599","661",0,4,4
"600","663",0,2,2
"601","664",1,0,-1
"602","666",1,1,0
"603","667",7,14,7
"604","668",1,3,2
"605","669",0,1,1
"606","67",0,2,2
"607","670",0,0,0
"608","671",0,5,5
"609","673",0,1,1
"610","674",1,4,3
"611","675",0,2,2
"612","677",0,1,1
"613","678",0,5,5
"614","679",0,3,3
"615","68",0,1,1
"616","680",0,0,0
"617","681",0,1,1
"618","682",0,1,1
"619","683",0,2,2
"620","684",1,0,-1
"621","685",2,7,5
"622","686",0,4,4
"623","687",0,6,6
"624","688",2,3,1
"625","689",0,22,22
"626","69",0,3,3
"627","690",0,1,1
"628","692",0,0,0
"629","693",0,5,5
"630","694",1,4,3
"631","695",0,1,1
"632","696",1,3,2
"633","697",0,1,1
"634","698",0,0,0
"635","699",0,4,4
"636","7",1,3,2
"637","70",1,5,4
"638","700",0,2,2
"639","701",3,1,-2
"640","703",0,4,4
"641","704",1,0,-1
"642","706",0,0,0
"643","707",0,2,2
"644","708",2,3,1
"645","709",0,6,6
"646","71",0,0,0
"647","710",0,2,2
"648","711",0,5,5
"649","712",0,3,3
"650","714",0,0,0
"651","716",0,3,3
"652","717",0,1,1
"653","718",1,2,1
"654","719",0,2,2
"655","72",1,1,0
"656","720",1,3,2
"657","721",0,5,5
"658","722",0,4,4
"659","723",0,4,4
"660","724",1,0,-1
"661","726",1,1,0
"662","727",0,1,1
"663","728",2,0,-2
"664","729",0,2,2
"665","730",0,0,0
"666","731",0,0,0
"667","733",2,6,4
"668","734",2,0,-2
"669","735",0,1,1
"670","737",0,0,0
"671","738",0,0,0
"672","739",1,4,3
"673","74",1,1,0
"674","741",0,2,2
"675","742",0,2,2
"676","743",0,1,1
"677","744",0,1,1
"678","745",0,1,1
"679","746",0,0,0
"680","747",0,1,1
"681","748",0,1,1
"682","75",1,3,2
"683","750",0,3,3
"684","752",0,2,2
"685","753",1,5,4
"686","754",0,1,1
"687","758",1,0,-1
"688","759",0,2,2
"689","76",1,3,2
"690","761",2,2,0
"691","762",2,7,5
"692","763",0,0,0
"693","764",1,3,2
"694","765",0,1,1
"695","766",3,7,4
"696","768",1,0,-1
"697","769",2,4,2
"698","77",0,3,3
"699","770",0,7,7
"700","771",0,4,4
"701","773",0,1,1
"702","774",1,0,-1
"703","775",0,2,2
"704","776",1,4,3
"705","777",1,14,13
