"","term3","Freq"
"1198","ideal",5
"1241","instayed",5
"1260","ironing",5
"1275","itstayed",5
"1299","key",5
"1307","kit",5
"1413","longer",5
"1416","looking",5
"1443","machine",5
"1458","malls",5
"1482","maybe",5
"1485","meals",5
"1495","menu",5
"1576","name",5
"1595","needs",5
"1609","nights",5
"1610","nil",5
"1618","non",5
"1681","options",5
"1845","problem",5
"1914","reach",5
"1919","ready",5
"1938","recommend",5
"1986","rest",5
"2004","road",5
"2084","serve",5
"2175","sleep",5
"2189","smaller",5
"2215","soft",5
"2235","sound",5
"2268","spread",5
"2285","stalls",5
"2332","strategic",5
"2376","surprise",5
"2386","system",5
"2493","took",5
"2497","toothbrush",5
"2525","transportation",5
"2547","trip",5
"2578","uncomfortable",5
"2604","upgrade",5
"2616","using",5
"2649","visit",5
"2658","wait",5
"2665","walked",5
"2673","want",5
"2683","wasn",5
"2694","weak",5
"2705","welcome",5
"2707","wellstayed",5
"2722","whole",5
"2","ab",4
"14","accessible",4
"33","add",4
"64","airportstayed",4
"90","amount",4
"121","areastayed",4
"165","average",4
"187","bag",4
"188","baggage",4
"193","bamboo",4
"205","bath",4
"235","bedsstayed",4
"371","called",4
"432","channels",4
"435","charge",4
"533","comfystayed",4
"549","complain",4
"565","concierge",4
"579","connected",4
"581","connection",4
"626","court",4
"667","daughter",4
"674","decent",4
"723","disappointed",4
"727","dishes",4
"730","dispenser",4
"756","double",4
"762","downtown",4
"809","eggs",4
"845","eric",4
"854","etcstayed",4
"907","extras",4
"917","facilitiesstayed",4
"1101","handy",4
"1104","happy",4
"1131","helpfull",4
"1146","higher",4
"1197","idea",4
"1220","includes",4
"1266","issue",4
"1283","job",4
"1297","kept",4
"1301","kids",4
"1303","kind",4
"1317","lack",4
"1320","lady",4
"1326","large",4
"1331","later",4
"1344","leave",4
"1388","ll",4
"1423","loud",4
"1453","makes",4
"1457","mall",4
"1500","mestayed",4
"1504","metro",4
"1575","na",4
"1607","nicestayed",4
"1615","noise",4
"1630","noticed",4
"1663","ones",4
"1685","orchard",4
"1736","paste",4
"1816","power",4
"1826","prepare",4
"1836","prices",4
"1837","pricestayed",4
"1848","process",4
"1851","professional",4
"1866","properly",4
"1885","queen",4
"1889","queue",4
"1893","quickly",4
"1906","range",4
"1912","rd",4
"1933","receptionist",4
"2050","say",4
"2065","second",4
"2068","security",4
"2085","served",4
"2148","sim",4
"2162","site",4
"2249","specially",4
"2274","st",4
"2286","stand",4
"2321","stops",4
"2359","suitcases",4
"2381","surrounding",4
"2472","timestayed",4
"2474","tiny",4
"2563","twice",4
"2573","umbrellas",4
"2583","unfriendly",4
"2629","varieties",4
"2668","walkstayed",4
"7","absolutely",3
"19","accommodation",3
"35","addition",3
"48","affordable",3
"71","alone",3
"84","ambiance",3
"120","areas",3
"144","ate",3
"148","atmosphere",3
"149","attentive",3
"190","bags",3
"200","basah",3
"215","bay",3
"218","bb",3
"228","bedbugs",3
