"","term3","Freq"
"1774","mini",6
"1873","newly",6
"1884","nicoll",6
"1890","nil",6
"1943","offer",6
"1953","ok",6
"1986","ordered",6
"2049","parkroyal",6
"2128","point",6
"2170","pressure",6
"2182","prior",6
"2196","proof",6
"2197","proper",6
"2207","public",6
"2216","quarter",6
"2259","reason",6
"2329","renovations",6
"2476","served",6
"2486","servicestayed",6
"2566","sized",6
"2633","special",6
"2640","spent",6
"2652","spread",6
"2655","st",6
"2676","star",6
"2684","stations",6
"2760","superb",6
"2815","team",6
"2876","times",6
"2901","top",6
"2908","tourist",6
"2929","travel",6
"2932","travelling",6
"2944","try",6
"2987","unlimited",6
"3036","ve",6
"3111","welcome",6
"16","accessible",5
"39","actually",5
"53","advised",5
"72","agreed",5
"77","aircon",5
"164","areas",5
"177","arrival",5
"196","assistance",5
"209","attractions",5
"271","beach",5
"338","book",5
"404","called",5
"439","center",5
"442","central",5
"457","changed",5
"492","children",5
"514","class",5
"531","closed",5
"556","comfort",5
"586","complained",5
"669","couple",5
"671","courteous",5
"714","dark",5
"716","data",5
"727","deal",5
"853","drink",5
"920","english",5
"940","equipped",5
"991","expected",5
"1022","fabulous",5
"1041","family",5
"1104","floors",5
"1189","gardens",5
"1252","guess",5
"1253","guest",5
"1313","hear",5
"1327","helped",5
"1414","ice",5
"1461","informed",5
"1501","isn",5
"1503","issue",5
"1538","keep",5
"1540","kept",5
"1541","key",5
"1543","kids",5
"1560","lack",5
"1589","leave",5
"1712","making",5
"1756","mention",5
"1766","middle",5
"1813","move",5
"1828","music",5
"1844","nd",5
"1879","nicely",5
"1881","nicestayed",5
"1900","non",5
"1926","now",5
"1955","older",5
"1971","open",5
"2023","overpriced",5
"2048","parking",5
"2063","paying",5
"2161","prefer",5
"2178","prices",5
"2311","relax",5
"2355","rest",5
"2376","rise",5
"2381","roof",5
"2450","see",5
"2483","services",5
"2534","showers",5
"2574","slightly",5
"2620","sound",5
"2627","space",5
"2724","stroller",5
"2726","strong",5
"2820","temperature",5
"2828","th",5
"2913","towels",5
"2915","town",5
"2925","transport",5
"2962","type",5
"2980","unfortunately",5
"3146","windows",5
"58","afternoon",4
"114","amenities",4
"148","appreciate",4
"175","arranged",4
"272","beautiful",4
"283","bedroom",4
"314","bigstayed",4
"315","bill",4
"334","body",4
"362","breakfasts",4
"400","cafes",4
"424","case",4
"444","centre",4
"467","charges",4
"483","chef",4
"490","chicken",4
"498","choices",4
"502","choose",4
"517","cleaned",4
"567","coming",4
"606","condition",4
"635","control",4
"649","corner",4
"660","cosy",4
"661","cot",4
"680","cream",4
"710","daily",4
"734","decided",4
"738","decor",4
"748","delicious",4
"789","difficult",4
"794","dining",4
"795","dinner",4
"806","discount",4
"816","district",4
"879","easily",4
"884","eateries",4
"988","expect",4
"1036","fair",4
"1051","fast",4
"1069","feels",4
"1096","flat",4
"1155","fridge",4
"1193","general",4
"1217","glam",4
"1275","hallway",4
"1320","heavy",4
"1439","including",4
"1459","inform",4
"1473","instayed",4
"1481","interesting",4
"1525","job",4
"1537","kampong",4
"1550","kitchen",4
"1665","looks",4
"1682","lovelystayed",4
"1689","luggage",4
"1698","machine",4
"1745","meals",4
"1853","needed",4
"1909","normal",4
"1928","number",4
"1948","office",4
"1973","opening",4
"1979","option",4
"1983","orchard",4
"2004","outdoor",4
"2176","priced",4
"2213","put",4
"2238","ran",4
"2251","ready",4
"2358","restaurantsstayed",4
"2366","return",4
"2371","ride",4
"2382","rooftop",4
"2410","safe",4
"2417","sands",4
"2448","security",4
"2469","separate",4
"2547","simple",4
"2648","spots",4
"2672","standard",4
"2715","straight",4
"2721","streetstayed",4
"2735","style",4
"2758","suntec",4
"2762","superior",4
"2778","swim",4
"2794","takes",4
"2824","terrible",4
"2861","thought",4
"2900","toostayed",4
"2904","totally",4
"2921","trained",4
"2952","turn",4
"2967","unable",4
"2977","understand",4
"3005","upgradestayed",4
"3071","waiting",4
"3080","wall",4
"3145","window",4
"3167","world",4
"3170","worst",4
"3176","wrong",4
"12","accept",3
"40","add",3
"82","airportstayed",3
"93","allergy",3
"102","alright",3
"128","answer",3
"143","apparently",3
"149","appreciated",3
"203","atmosphere",3
"207","attitude",3
"210","attractionsstayed",3
"218","availablestayed",3
"219","average",3
"222","awake",3
"228","awesomestayed",3
"237","backstayed",3
"239","badly",3
"246","balcony",3
"259","basic",3
"282","bedding",3
"311","bigger",3
"316","birthday",3
"370","bring",3
"371","broken",3
"381","buildings",3
"402","cake",3
"417","caring",3
"425","cases",3
"432","cause",3
"451","certainly",3
"462","channels",3
"472","cheap",3
"473","cheaper",3
"482","cheese",3
"518","cleaners",3
"522","cleanlinessstayed",3
"526","clear",3
"536","clothes",3
"543","cocktails",3
"555","comes",3
"570","common",3
"585","complain",3
"589","complaints",3
"625","considerate",3
"630","contacted",3
"644","cooked",3
"656","corridors",3
"689","crowded",3
"705","customers",3
"741","deep",3
"770","desired",3
"784","didnt",3
"786","difference",3
"803","disappointed",3
"804","disappointing",3
"811","dishes",3
"817","disturbance",3
"838","doors",3
"866","dust",3
"868","duty",3
"892","egg",3
"921","enjoy",3
"938","environment",3
"953","european",3
"977","exceptional",3
"978","exceptionally",3
"986","exit",3
"989","expectation",3
"1001","experienced",3
"1006","explanation",3
"1007","explore",3
"1012","extensive",3
"1028","facilitiesstayed",3
"1031","facing",3
"1063","features",3
"1088","firm",3
"1121","foodstayed",3
"1128","forgot",3
"1147","freezing",3
"1171","fully",3
"1176","furniture",3
"1181","future",3
"1218","glass",3
"1240","green",3
"1258","guy",3
"1261","gymstayed",3
"1274","half",3
"1300","hassle",3
"1366","hop",3
"1416","idea",3
"1426","impressed",3
"1444","inconvenient",3
"1471","insisted",3
"1484","internal",3
"1493","inviting",3
"1504","issues",3
"1521","japanese",3
"1528","joined",3
"1533","junction",3
"1556","knowledge",3
"1566","laid",3
"1578","later",3
"1581","laundry",3
"1601","let",3
"1612","light",3
"1615","lights",3
"1622","limited",3
"1628","literally",3
"1669","lost",3
"1692","lunch",3
"1704","maintained",3
"1715","mall",3
"1719","management",3
"1726","maps",3
"1734","massive",3
"1736","matter",3
"1740","maybe",3
"1747","meant",3
"1754","members",3
"1760","met",3
"1809","mosque",3
"1831","musty",3
"1856","negative",3
"1859","neighborhood",3
"1876","nibbles",3
"1888","nightstayed",3
"1912","note",3
"1962","once",3
"2050","part",3
"2076","perfume",3
"2080","personal",3
"2082","personnel",3
"2089","pick",3
"2141","poolside",3
"2147","position",3
"2165","premier",3
"2188","problems",3
"2191","process",3
"2194","professional",3
"2206","proximity",3
"2234","raffles",3
"2235","rain",3
"2236","ramp",3
"2253","real",3
"2260","reasonable",3
"2266","received",3
"2293","refurb",3
"2295","refurbishing",3
"2296","refurbishment",3
"2320","rendered",3
"2335","replenished",3
"2367","returned",3
"2380","roadstayed",3
"2402","rude",3
"2406","run",3
"2441","school",3
"2491","set",3
"2493","setting",3
"2514","sheet",3
"2515","sheets",3
"2531","show",3
"2537","shuttle",3
"2561","situated",3
"2562","situation",3
"2569","skyline",3
"2582","smartphone",3
"2588","smelt",3
"2592","smiling",3
"2594","smoking",3
"2630","speak",3
"2645","sports",3
"2646","spot",3
"2677","start",3
"2681","state",3
"2685","stationstayed",3
"2696","steam",3
"2707","stopover",3
"2720","streets",3
"2746","suggest",3
"2754","sun",3
"2771","surprise",3
"2772","surprised",3
"2776","sweet",3
"2783","switch",3
"2804","taste",3
"2806","tasty",3
"2819","tell",3
"2877","timestayed",3
"2891","toiletries",3
"2903","total",3
"2940","trouble",3
"2953","turned",3
"2968","unacceptable",3
"2998","updating",3
"3013","usage",3
"3017","useful",3
"3018","useless",3
"3056","visit",3
"3072","wake",3
"3092","washing",3
"3094","wasnt",3
"3108","week",3
"3109","weekend",3
"3118","weren",3
"3132","white",3
"3147","wine",3
"3162","worked",3
"3163","working",3
"3166","works",3
"3188","young",3
"9","absolutely",2
"10","abundant",2
"11","ac",2
"20","accommodate",2
"38","actual",2
"41","added",2
"45","adjacent",2
"46","adjusted",2
"48","adults",2
"49","advance",2
"50","advantage",2
"54","affect",2
"64","age",2
"66","agent",2
"79","airconditioner",2
"90","allen",2
"95","allow",2
"97","allows",2
"105","alternative",2
"111","amazingstayed",2
"115","amenitiesstayed",2
"117","american",2
"119","amount",2
"137","anyway",2
"158","arabic",2
"171","arm",2
"173","aroundstayed",2
"181","arriving",2
"184","art",2
"211","attractive",2
"213","australian",2
"216","availability",2
"242","baggage",2
"250","banging",2
"258","basement",2
"269","baystayed",2
"288","bedsstayed",2
"306","beverage",2
"317","birthdaystayed",2
"326","blew",2
"342","bookings",2
"352","box",2
"374","buddy",2
"390","busy",2
"392","buy",2
"408","callsstayed",2
"420","carpets",2
"421","carried",2
"437","ceiling",2
"440","centers",2
"447","centresstayed",2
"448","centrestayed",2
"453","chain",2
"455","chance",2
"469","charging",2
"476","checkin",2
"480","checks",2
"493","chill",2
"494","chilly",2
"495","china",2
"500","choicesstayed",2
"505","christmas",2
"511","citypool",2
"528","climate",2
"532","closer",2
"550","com",2
"551","combined",2
"566","comfystayed",2
"571","communicate",2
"572","communication",2
"580","compensated",2
"591","complete",2
"595","computer",2
"612","confirmation",2
"615","confortable",2
"620","connection",2
"623","consider",2
"639","convenientstayed",2
"668","country",2
"683","crib",2
"695","culture",2
"696","cup",2
"702","curtain",2
"703","curtains",2
"713","dangerous",2
"717","date",2
"719","daughter",2
"750","deliciousstayed",2
"761","department",2
"762","departure",2
"766","deserves",2
"767","design",2
"775","dessert",2
"780","device",2
"781","devices",2
"801","dirty",2
"802","disabled",2
"821","divide",2
"828","dollars",2
"832","dont",2
"848","drain",2
"861","dryer",2
"873","earlier",2
"885","eateriesstayed",2
"903","emergency",2
"910","enabled",2
"924","enjoying",2
"925","enormous",2
"927","enoughstayed",2
"937","entry",2
"950","etcstayed",2
"956","evenings",2
"958","eventually",2
"961","everyday",2
"964","everythingstayed",2
"981","excluded",2
"990","expectations",2
"994","expecting",2
"1002","experiencestayed",2
"1004","explained",2
"1010","extended",2
"1016","extras",2
"1029","facility",2
"1030","facilitystayed",2
"1037","fairly",2
"1050","fashioned",2
"1055","fault",2
"1068","feeling",2
"1072","fell",2
"1079","final",2
"1080","finally",2
"1086","finished",2
"1093","fixed",2
"1098","flexibility",2
"1099","flexible",2
"1112","flyer",2
"1115","fone",2
"1120","foods",2
"1127","forget",2
"1130","forth",2
"1132","fortunate",2
"1133","forward",2
"1138","fox",2
"1152","freshener",2
"1160","friends",2
"1161","friendsstayed",2
"1166","fruit",2
"1174","furnished",2
"1188","garden",2
"1216","glad",2
"1219","gluten",2
"1248","ground",2
"1249","group",2
"1250","gst",2
"1268","hadn",2
"1270","hair",2
"1278","hammering",2
"1282","handled",2
"1284","handphone",2
"1285","hands",2
"1304","haven",2
"1308","head",2
"1314","heard",2
"1317","heat",2
"1335","helps",2
"1339","herestayed",2
"1344","higher",2
"1364","honest",2
"1365","honeymoon",2
"1367","hope",2
"1380","hotelhotel",2
"1393","hourstayed",2
"1394","house",2
"1403","hub",2
"1411","hygiene",2
"1417","ideal",2
"1422","im",2
"1430","improve",2
"1431","improved",2
"1432","improvedstayed",2
"1443","inconvenience",2
"1446","increase",2
"1448","incredibly",2
"1462","informing",2
"1465","ingredient",2
"1466","initial",2
"1467","initially",2
"1483","interior",2
"1508","items",2
"1509","iti",2
"1517","jack",2
"1523","jet",2
"1563","lady",2
"1584","leading",2
"1605","levels",2
"1614","lighting",2
"1627","listed",2
"1650","locationgreat",2
"1651","locations",2
"1666","loose",2
"1694","luxurious",2
"1695","luxury",2
"1699","machines",2
"1702","mainly",2
"1705","maintainedstayed",2
"1708","major",2
"1710","makes",2
"1714","malaysian",2
"1717","man",2
"1744","meal",2
"1749","meet",2
"1757","mentioned",2
"1765","mia",2
"1769","mile",2
"1770","milk",2
"1775","minifridge",2
"1778","minor",2
"1789","missing",2
"1792","mix",2
"1800","moneystayed",2
"1815","movie",2
"1820","mrtstayed",2
"1823","muchstayed",2
"1826","multiple",2
"1829","muslim",2
"1836","name",2
"1847","nearbystayed",2
"1849","nearest",2
"1850","nearly",2
"1865","neighbours",2
"1882","niceswimming",2
"1892","nit",2
"1897","noises",2
"1921","noticed",2
"1924","nov",2
"1929","numerous",2
"1934","occasions",2
"1946","offers",2
"1972","opened",2
"1987","orders",2
"1988","ordinary",2
"2007","outlet",2
"2008","outlets",2
"2021","overnight",2
"2054","passed",2
"2066","peace",2
"2068","penalty",2
"2075","perform",2
"2081","personally",2
"2090","picked",2
"2100","pity",2
"2107","plane",2
"2117","plentiful",2
"2119","pls",2
"2132","politestayed",2
"2139","poolroom",2
"2145","popular",2
"2151","post",2
"2155","power",2
"2162","preference",2
"2164","preferred",2
"2166","premises",2
"2173","previous",2
"2179","pricestayed",2
"2180","pricey",2
"2189","procedure",2
"2217","quarterstayed",2
"2221","queue",2
"2223","quickly",2
"2226","quieter",2
"2237","ramps",2
"2247","reach",2
"2250","read",2
"2254","reality",2
"2262","reasonably",2
"2268","recently",2
"2291","refund",2
"2304","register",2
"2306","regular",2
"2313","relaxed",2
"2314","relaxing",2
"2324","renovate",2
"2332","repair",2
"2341","requests",2
"2344","required",2
"2345","requirements",2
"2349","reserved",2
"2353","response",2
"2359","restaurantstayed",2
"2370","rich",2
"2373","ridiculous",2
"2386","roomgood",2
"2396","roomthe",2
"2404","ruined",2
"2407","running",2
"2408","rush",2
"2419","satisfactory",2
"2422","saturday",2
"2428","saw",2
"2430","saying",2
"2431","says",2
"2439","scent",2
"2442","scratched",2
"2443","sd",2
"2451","seeing",2
"2455","seen",2
"2470","separated",2
"2494","settings",2
"2500","sgd",2
"2501","sgstayed",2
"2502","shade",2
"2508","shape",2
"2509","share",2
"2526","shopsstayed",2
"2532","showed",2
"2538","sichuan",2
"2545","significant",2
"2548","simply",2
"2560","sits",2
"2570","slam",2
"2573","sleeping",2
"2585","smelled",2
"2586","smelling",2
"2591","smiles",2
"2593","smoke",2
"2595","smooth",2
"2598","snacks",2
"2601","soap",2
"2616","soon",2
"2618","sorted",2
"2622","soundproof",2
"2635","specific",2
"2637","speed",2
"2651","spray",2
"2665","staffsstayed",2
"2667","staffthe",2
"2669","stained",2
"2670","stairs",2
"2671","stand",2
"2687","staycation",2
"2691","staying",2
"2699","step",2
"2700","steps",2
"2703","stiff",2
"2710","stops",2
"2712","store",2
"2716","strategic",2
"2723","strictly",2
"2745","sufficient",2
"2748","suit",2
"2749","suitable",2
"2751","suited",2
"2752","suits",2
"2756","sunday",2
"2766","suppose",2
"2781","swimmingpool",2
"2793","taken",2
"2823","terms",2
"2830","thank",2
"2832","thanks",2
"2869","tidy",2
"2870","tidystayed",2
"2873","tiles",2
"2883","tissue",2
"2886","today",2
"2922","training",2
"2924","transferred",2
"2928","transportstayed",2
"2931","travelled",2
"2946","tub",2
"2951","turkish",2
"2958","twice",2
"2972","unbelievably",2
"2973","uncomfortable",2
"2981","unfriendly",2
"2996","update",2
"2997","updated",2
"3019","user",2
"3020","usestayed",2
"3028","vacuum",2
"3030","valuestayed",2
"3032","varieties",2
"3053","viewsstayed",2
"3058","visiting",2
"3075","walked",2
"3120","wet",2
"3122","whats",2
"3137","wide",2
"3150","wish",2
